Channel,Rank,Bank,Row,AvgOpenDuration,OpenCount,AvgReopenInterval,TotalRefreshes,AvgRefreshesBetweenReopens
0,0,1,4794,1.10543e+06,5,2.69583e+06,2571,514.2
0,0,1,4795,277189,22,545871,2571,116.864
0,0,1,4838,104354,47,497109,2571,54.7021
0,0,1,4839,898218,11,1.79572e+06,2571,233.727
0,0,1,4843,713937,11,1.64029e+06,2571,233.727
0,0,1,4849,193890,9,1.34044e+06,2571,285.667
0,0,1,4852,795022,11,814290,2571,233.727
0,0,1,4854,847235,15,971930,2571,171.4
0,0,1,4855,116891,15,1.49989e+06,2571,171.4
0,0,1,4856,1.68096e+06,2,1.68099e+06,2571,1285.5
0,0,1,4857,1.53408e+06,18,1.8405e+06,2571,142.833
0,0,1,4861,1.35204e+06,3,2.66302e+06,2571,857
0,0,1,4863,2.26243e+06,5,3.98444e+06,2571,514.2
0,0,1,4864,286928,18,1.24731e+06,2571,142.833
0,0,1,4865,1.16872e+06,12,1.39417e+06,2571,214.25
0,0,1,4878,877677,9,1.14959e+06,2571,285.667
0,0,1,4879,2.4269e+06,4,3.78393e+06,2571,642.75
0,0,1,4880,434164,17,602203,2571,151.235
0,0,1,4881,610443,7,845914,2571,367.286
0,0,1,4890,60199.8,98,301415,2571,26.2347
0,0,1,4891,2.00749e+06,3,2.00757e+06,2571,857
0,0,1,4904,234291,8,1.89088e+06,2571,321.375
0,0,1,4905,307560,6,4.20159e+06,2571,428.5
0,0,1,4933,4555.2,5,7672.8,2571,514.2
0,0,1,5011,2.27762e+06,3,2.27767e+06,2571,857
0,0,1,5061,295756,3,2.71398e+06,2571,857
0,0,1,5076,58690.9,14,2.63625e+06,2571,183.643
0,0,1,5077,1.09348e+06,4,1.1425e+06,2571,642.75
0,0,1,5087,68619.4,34,230158,2571,75.6176
0,0,1,5088,692656,41,866407,2571,62.7073
0,0,1,5090,2.45215e+06,6,4.97756e+06,2571,428.5
0,0,1,5220,147176,7,1.12915e+06,2571,367.286
0,0,1,5221,3.78039e+06,4,3.93576e+06,2571,642.75
0,0,1,5272,3.24655e+06,2,3.24658e+06,2571,1285.5
0,0,1,5275,3.42556e+06,2,3.4256e+06,2571,1285.5
0,0,1,5476,1.34343e+06,5,1.69807e+06,2571,514.2
0,0,1,5540,2.48311e+06,2,2.48327e+06,2571,1285.5
0,0,1,5972,190082,3,2.05315e+06,2571,857
0,0,1,6830,1.27765e+06,2,1.27769e+06,2571,1285.5
0,0,1,6916,109263,29,543827,2571,88.6552
0,0,1,6917,130216,23,619347,2571,111.783
0,0,1,6918,130227,36,400953,2571,71.4167
0,0,1,6919,46767.6,14,1.02713e+06,2571,183.643
0,0,1,6932,197919,18,1.33372e+06,2571,142.833
0,0,1,6933,365088,57,627701,2571,45.1053
0,0,1,6950,6333.4,5,839443,2571,514.2
0,0,1,6993,1.03408e+06,9,1.721e+06,2571,285.667
0,0,1,7001,10637.4,7,1.54327e+06,2571,367.286
0,0,1,7002,1177.71,7,3.43689e+06,2571,367.286
0,0,1,7003,579348,13,1.73902e+06,2571,197.769
0,0,1,7026,3.53009e+06,2,3.53013e+06,2571,1285.5
0,0,1,7028,911322,8,2.84947e+06,2571,321.375
0,0,1,7029,561715,13,1.57459e+06,2571,197.769
0,0,1,7030,2.03635e+06,3,2.62729e+06,2571,857
0,0,1,7031,2.29905e+06,4,2.46452e+06,2571,642.75
0,0,1,7048,289522,26,822329,2571,98.8846
0,0,1,7049,445235,13,700071,2571,197.769
0,0,1,7050,7600.22,9,914226,2571,285.667
0,0,1,7051,9910.4,5,591985,2571,514.2
0,0,1,7096,430016,12,1.81631e+06,2571,214.25
0,0,1,7097,1.56078e+06,6,2.34077e+06,2571,428.5
0,0,1,7099,130744,16,1.68336e+06,2571,160.688
0,0,1,7158,814579,5,1.38762e+06,2571,514.2
0,0,1,7447,8.08719e+06,2,8.08723e+06,2571,1285.5
